program_id,org,dept,name,description,Safety,safety_coded
1097,Flagstaff,08-Water Services,Water Services Oversight & Facility,"Oversight, training, communications, reports and commissions, Admin facility maintenance. Coordinate security at all Water Services facilities in line with US Environmental Protection Agency and Department of Homeland Security protocols, standards and practices as they relate to water services.",4,1
1134,Flagstaff,Non-departmental,Service Partner Contracts - Non Departmental,"United Way
FACTS
Humane Society
Intake Triage
Victim Witness
Greater Flagstaff Forest Partnership 
Coalition for Children and Youth
NACASA
Weed and Seed",4,1
1877,Flagstaff,06-Public Works,Support for Partner Recreation and Park Organizations,Support for partnered third party organizations providing recreation programming or for lease/maintenance of city Park and Recreation facilities,4,1
1879,Flagstaff,06-Public Works,Trails and Paths Maintenance,"Maintenance and repairs of aggregate, asphalt and concrete trails and paths throughout City limits",4,1
1882,Flagstaff,06-Public Works,"Trash Refuse, Restroom Cleaning","Trash retrieval for City provided cans at park grounds, civic spaces, along the FUTS.  Restroom cleaning at all permanent restrooms in park grounds as well as Heritage Square.",4,1
1890,Flagstaff,03-Fire,Alternative Response,"A unit designed to respond to social, behavioral and public intoxicant populations within the community.",4,1
1327,Jefferson,Child Support,Establishment of Child Support,"(mandated under: 45 CFR 303.4, 45 CFR 302.33, 767.521 Wis. Stats.) Agency provides services to establish support pursuant to DCF 150, 767.511 Wis.stats.",4,1
1329,Jefferson,Child Support,Establishment and Enforcement of Medical Support,"(mandated under: 45 CFR 303.3, 303.31, 303.32, DCF 150; 767.513 Wis. Stats) Agency provides services to establish and enforce orders for medical support.",4,1
1332,Jefferson,Child Support,Enforcement of Orders- Adminstrative,"(mandated under 45 CFR 303.3, 767.75 Wis. Stats, 49.854 Wis. Stats.) Agency provides services to enforce child support orders through various adminstrative means:   Tax intercept, Income withholding, admintrative liens, account seizure, license suspension, passport denial, vehicle liens,",4,1
1334,Jefferson,Child Support,Child Support Financial Functions,(mandated under 45 CFR 303.100 59.53(5)(b) Wis. Stats.) Agency performs court order entry of all child support and medical support orders entered in county and performs all related financial adjustments.,4,1
1341,Jefferson,Clerk of Court,Treatment Courts,Specialty alcohol and drug treatment courts,4,1
1342,Jefferson,Clerk of Court,Court Ordered Professional Services,"Court appointed attorneys, GAL and Psychologists",4,1
1344,Jefferson,Clerk of Court,Mediation Services,Administer family court services by providing mediation services,4,1
1346,Jefferson,Clerk of Court,Judicial Administration,Administration of judicial business within the circuit court,4,1
1347,Jefferson,Clerk of Court,Family Law Assistance - FCS/FCC,FCS/FCC,4,1
1354,Jefferson,Clerk of Court,Restraining Orders - Civil,All types,4,1
1355,Jefferson,Clerk of Court,Judicial Support,"Commissioners, JA's",4,1
1357,Jefferson,Clerk of Court,Family Cases - Paternity,"Court has jurisdiction over domestic disputes, child support, child custody and welfare, custody studies, psych evaluations, Gal appointments",4,1
1358,Jefferson,Clerk of Court,"Family Cases - Divorce, Legal Separation, Support, Enforcement, Annulment","Court has jurisdiction over domestic disputes, child support, child custody and welfare, custody studies, psych evaluations, Gal appointments",4,1
1360,Jefferson,Clerk of Court,Jury Management,"Compile prospective juror lists, jury summons, jury selection, obtain sufficient number of jurors, pay fees and mileage",4,1
1361,Jefferson,Clerk of Court,Interpreter Services,"Provide interpreter services, prepare request for interpreter reimburement",4,1
1362,Jefferson,Clerk of Court,Juvenile - Permanent Placement and Delinquencies,Juvenile actions where the court and others prepare a plan for children in need.,4,1
1363,Jefferson,Clerk of Court,Juvenile Child Protection and Guardian,Juvenile actions where the court and others prepare a plan for children in need.,4,1
1364,Jefferson,Clerk of Court,Juvenile Ordinance Violations,Ordinance violations,4,1
1365,Jefferson,Clerk of Court,Probate Cases - Mental Competency,Mental and JV mental,4,1
1366,Jefferson,Clerk of Court,Probate Cases -Guardianship,Guardianships,4,1
1367,Jefferson,Clerk of Court,Probate Cases - Adoptions and Terminations,"Adoptions, Terminations",4,1
1369,Jefferson,Clerk of Court,Probation Revocation Discharge and Prison Release Notification Process,"Process notices received informing the courts of revocation, discharge and release of Defendant - Respond to inquiries",4,1
1371,Jefferson,Clerk of Court,Criminal Misdemeanor Cases,Process thru which criminal laws are enforced,4,1
1372,Jefferson,Clerk of Court,Criminal Felony Cases,Process thru which criminal laws are enforced,4,1
1378,Jefferson,Clerk of Court,Appeals,Court record compiled and indexed for review by appellate courts. Municipal cases appealed to circuit court,4,1
1379,Jefferson,Clerk of Court,Criminal Traffic Cases,Process thru which criminal laws are enforced,4,1
1429,Jefferson,District Attorney,Criminal File litigation/Support,"Review law enforcement reports.  Preparation of criminal complaints & other documents, meet with victims, request follow up investigation as needed; prosecution of  cases, appear at court hearings; drafting and filing of criminal complaints, negotiation with defense. File Management for all adult criminal cases, drafting  certain documents for the prosecutor, efiling, info sharing, trial prep, maintaining current file information.  Providing legal support to office prosecutorial staff.",4,1
1435,Jefferson,District Attorney,Domestic Violence Cases Handling,"Draft & file criminal complaints for DV offenses; appearance at IA's, request follow up law enforcement investigation; determination of bond.",4,1
1437,Jefferson,District Attorney,"SW, Subpoenas, Law Enforcement Assistance",Search Warrants; Subpoenas; Provide guidance  and legal updates to Law Enforcement Agencies.,4,1
1441,Jefferson,District Attorney,OWI File Handling/Prosecution,"Preparation of criminal complaints & other documents for OWI related offenses; court appearances, drafting of offers. File Management for all OWI related cases, drafting  certain documents for the prosecutor, efiling, info sharing, trial prep, maintaining current file information.  Providing legal support to office prosecutorial staff.",4,1
1466,Jefferson,Fair Park,Fairgrounds Facility Building Maintenance,Cleaning of the facility inventory of tables and chairs and other minor repairs as needed. Facility upkeep of 16 structures Plumbing Electrical Heating ventilation air conditioning maintenance and repairs,4,1
1467,Jefferson,Fair Park,Fairgrounds Grounds Maintenance,"Fencing and gates, arena's,  and cleanup of the property",4,1
1468,Jefferson,Fair Park,Fairgrounds Parking Lot and Roadway Maintenance,Maintain parking lots gravel roads and lots,4,1
1472,Jefferson,Fair Park,Equipment maintenance,"Maintain all vehicles,tractors, drags, skidsteers, waterwagons, snow removal equipment and trailers",4,1
1505,Jefferson,Health,Public Health Preparedness,"Prepares and follows county wide and/or statewide disaster plans. Communicates information to the public and collaborates with partners to meet the needs of the public. Train staff to respond in an emergency. Complete table top & emergency drills/exercises. Provides 24/7 on-call in the event of an outbreak or disaster. Train with police, fire, Emergency Management and EMS, respond to emergencies, outbreaks and disasters.",4,1
1507,Jefferson,Health,Environmental Health,"Responsible for licensing and inspections of food vendors, school kitchens, restaurants, hotels/motels, swimming pools, following-up on human health hazard complaints, radon, asbestos, air & water quality; water testing for outbreaks, newborns, pregnant women and after flooding.. Investigations on high blood level results. Provides 24/7 on-call.",4,1
1521,Jefferson,Health,Communicable & Chronic Disease Prevention,"This is a State mandated program and takes priority over all other Health Department services. Public Health Nurses track, analyze and trend infectious disease processes, reporting these results to physicians and the State through WEDSS as required to minimize infectious outbreaks. Nurses follow-up with individuals/families/contacts of diagnosed or suspect communicable disease cases to provide education and prevention of further cases. Public Health staff respond immediately to infectious disease outbreaks and pandemics.",4,1
1522,Jefferson,Health,Mental Health Services - Outpatient Program - Injections,Registered Nurses administer mental health injections in the Health Department clinic under doctor orders for clients who have a need for injectable mental health medications due to their mental health diagnosis. Jefferson County Human Services is billed per injection on a monthly basis.,4,1
1525,Jefferson,Health,Public Health Clinic Services,"Public Health Nurses provide blood pressure checks, pregnancy tests, TB skin tests, immunizations, health education, dental varnishes and well child checks to qualifying clients.",4,1
1527,Jefferson,Health,Maternal and Child Health Consolidated Contract Grant,"Health Department staff collaborate with community partners to build a system of care for families including child death prevention through the Child Death Review Team. Recommendations for services are implemented by team members. With support from The Greater Watertown Community Health Foundation and collaboration with partners within the ""Every Child Thrives"" initiative, the Health Department has implemented the ""TalkReadPlay"" Home Visit Program utilizing evidence-based curriculum, Parents as Teachers. The program is available for all families residing in Jefferson County starting prenatally through a child's third year of age. Public Health Nurses provide home visits to families with newborns or in need of parenting support.",4,1
1528,Jefferson,Health,Prenatal Care Coordination (PNCC),"Public Health nurses provide home visits to offer additional support for pregnant women who are at risk. They offer education and support, connect moms & families to resources. Billing is submitted to BadgerCare for Medicaid eligible client visits.",4,1
1531,Jefferson,Health,Childhood Lead Consolidated Contract Grant,"Screening and education is provided by WIC staff and Public Health Nurses to the parents/caregivers regarding effects of a high blood lead level on the child's health, environmental health assessment is conducted to determine source(s) of contamination, information/resources for clean-up or abatement. Follow-up provided on all blood lead levels >5ug/dl.",4,1
1533,Jefferson,Health,Child Safety & Injury Prevention,"Programs focus on reducing and preventing injuries/death to keep children and families healthy and safe: Keeping Kids Alive, Child Death Review Team (CDRT), Zero Suicide, Cribs 4 Kids (Safe Sleep) & Bureau of Transportation (BOTS Grant) free car seat program.",4,1
1535,Jefferson,Health,"24/7 on-call consultation for communicable disease, emergencies & disasters",The Health Department has an on-call call-up list for medical providers and emergency responders. The majority of the calls are answered by the Director/Health Officer and/or Public Health Program Manager.,4,1
1543,Jefferson,Health,Human Services Mental Health Nursing - CSP; CCS; HS Meds,"Registered Nurse works with CSP clients at the Lueder Haus providing routine psychotropic injections and/or venipuncture for lab tests per M.D. orders, health education and assessments. Jefferson County Human Services is billed for reimbursement of payroll expenses, office supplies and medical supplies monthly.",4,1
1546,Jefferson,Highway,Engineering/Project Design and Planning,Manage the development of standard details and project specifications,4,1
1548,Jefferson,Highway,Traffic Engineering Studies/Data Collection,Conduct speed volume traffic signal and stop sign warrant studies as requested,4,1
1549,Jefferson,Highway,Bridge Inspection,Perform bridge inspections,4,1
1552,Jefferson,Highway,Fleet Maintenance and Repair,Fleet maintenance and repairs for all vehicles,4,1
1554,Jefferson,Highway,Facility and Grounds Maintenance & Repairs,Repair Clean and Paint Interior and exterior Buildings as well as Parking lots,4,1
1555,Jefferson,Highway,Facility Custodial & Light Maintenance,Clean sanitize and restock products at city facilities,4,1
1556,Jefferson,Highway,Road Construction Grading,Excavation of roadway subgrade in ROW,4,1
1559,Jefferson,Highway,Asphalt Paving,Paving work for both maintenance and improvement projects,4,1
1561,Jefferson,Highway,Culvert Maintenance and Replacement,"Repair, Replace, and Line culverts in the ROW",4,1
1562,Jefferson,Highway,Employee Safety/Operations Training,Safety and operations training for all department employees,4,1
1563,Jefferson,Highway,Sign Maintenance and Replacement,Repair or replace damaged signs,4,1
1564,Jefferson,Highway,Traffic and  Work Zone Control,Placement and removal of signs cones impact attenuators arrow boards and other devices,4,1
1565,Jefferson,Highway,Winter Maintenance - Snow Plowing,Plow and apply deicing materials to county highways,4,1
1566,Jefferson,Highway,Winter Maintenance  - Materials Management,Apply liquid anti icing chemicals prior to the start of a storm or icing event including frost and black ice prevention,4,1
1567,Jefferson,Highway,Crack Sealing - Pavement Maintenance,Place liquid asphalt treatments in cracks in pavement,4,1
1568,Jefferson,Highway,Chip Sealing - Pavement Maintenance,Place asphalt materials and cover aggregate to seal surface of pavement,4,1
1570,Jefferson,Highway,Bridge Maintenance,Maintenance work on all bridges (Routine and repairs),4,1
1571,Jefferson,Highway,Drainage Maintenance,Repair and improve drainage inspect and maintain ditches and culverts,4,1
1573,Jefferson,Highway,Litter and Debris Removal,Remove objects from roadways which may impact safe travel,4,1
1574,Jefferson,Highway,Guard Rail Installation and Repairs,Repair damaged guard rails on city right of way,4,1
1575,Jefferson,Highway,Tree and Brush Removal,Remove trees and brush on highway ROW,4,1
1576,Jefferson,Highway,Pavement Markings and Striping,Schedule roadway markings and striping,4,1
1610,Jefferson,Human Services,ADRC,"Provide accurate, unbiased information on all aspects of life related to aging or living with a disability; and serves as the access point for publicly-funded long term care.",4,1
1611,Jefferson,Human Services,Disability Benefits Specialist (DBS),Provide adults with disabling conditions benefit counseling and advocacy services,4,1
1612,Jefferson,Human Services,Elder Benefit Specialist (EBS),"Help answer questions and solve problems related to Social Security, Medicare, health insurance and other public and private benefits for older adults.  They serve people ages 60 and over.",4,1
1613,Jefferson,Human Services,Adult Protective Services (APS) & Elder Abuse,"Ensure vulnerable adults, aged 18+ are aware of and have access to Adult Protective Services 24/7",4,1
1614,Jefferson,Human Services,Senior Dining Program,"Serve & deliver, without interruption, well-balanced meals to seniors who request them in our service area, and to those who have the greatest economic or social need",4,1
1615,Jefferson,Human Services,Transportation,Provide medical transportation to seniors and persons with dis-abilities and rides to department appointments.,4,1
1616,Jefferson,Human Services,Alzheimers Family Support,Provides funding to families in response to the stress and services needs of caring at home for someone with irreversible dementia,4,1
1617,Jefferson,Human Services,Guardianship Program,"Provides funding, information, and assistance on issues related to guardianship, protective placement, advance directives.",4,1
1618,Jefferson,Human Services,Title III-B Supportive Services,Provides personal care and hommeaker services for frail and elderly.,4,1
1619,Jefferson,Human Services,Title III-D Disease Prevention and Health Promotion,Evidence-based health promotion/disease prevention programs,4,1
1620,Jefferson,Human Services,Title III-E Family Caregiver Support,"Provides caregivers with information about available services; assistance in gaining access to services; individual counseling, support groups and training; respite care",4,1
1622,Jefferson,Human Services,Community Support Program,Integrated services for people with severe and persistent mental illness,4,1
1623,Jefferson,Human Services,Community Recovery Services,Residential services for people with mental health and substance abuse,4,1
1624,Jefferson,Human Services,Comprehensive Community Services,"Recovery based community, mental health, and substance abuse services",4,1
1625,Jefferson,Human Services,Emergency Mental Health,24/7 mobile response to all crisis call,4,1
1626,Jefferson,Human Services,Outpatient Alcohol and Other Drugs Clinic,Treatment services for substance use including opioid addictions,4,1
1627,Jefferson,Human Services,Outpatient Mental Health Clinic,Provide mental health counseling,4,1
1628,Jefferson,Human Services,Lueder Haus,Serves as an acute care facility for chronic mentally ill adults who are in immediate crisis but not in need of hospitalization,4,1
1630,Jefferson,Human Services,IDP Assessments and Treatment Services,Intoxicated Driver Program - provides treatment and services,4,1
1631,Jefferson,Human Services,Birth to Three,Supporting Families in promoting the growth and development of their children.,4,1
1633,Jefferson,Human Services,Children in Need of Protective Services,"Monitor safety, well-being, and permanence for all children found to be in need of protection or services by the courts.",4,1
1634,Jefferson,Human Services,Children Long Term Support,Home and Community-based services that provide Medicaid funding for children with substantial functional needs,4,1
1636,Jefferson,Human Services,Intake,"Provides a single access point for all child, juvenile and family service needs.",4,1
1637,Jefferson,Human Services,Youth Justice Integrated Services,Provide evidence based treatment and supervision to all court ordered youth.,4,1
1638,Jefferson,Human Services,Kinship Care,Supports the care of children by relatives,4,1
1639,Jefferson,Human Services,In Home Safety Services,"Indentifies opportunities to control safety threats in the home, allowing children to stay in the home",4,1
1640,Jefferson,Human Services,Post-Reunification Support,Enhanced services and supports to those families who are most at risk of experiencing a re-entry into out-of-home care,4,1
1641,Jefferson,Human Services,Community Response,"Provides voluntary supports to strengthen families, prevent child abuse and neglect, and reduce re-referrals to CPS",4,1
1642,Jefferson,Human Services,IV-E Legal,Supports the expansion of legal services for child welfare programs.,4,1
1645,Jefferson,Human Services,Food Share-Food Stamps,Provides financial assistance to purchase food for those who meet income guidelines.,4,1
1646,Jefferson,Human Services,Medical Assistance and Market Place exchanges,Provides Health Insurance benefits for those who meet income guidelines.,4,1
1680,Jefferson,Sheriff,County Transports,Transporting inmates to and from other county and municipal jails and for court medical dental etc,4,1
1682,Jefferson,Sheriff,Extraditions,Handle in coming and out going extraditions from out of state setting up travel plans etc,4,1
1685,Jefferson,Sheriff,Housing of Inmates,The housing and security of arrested offenders,4,1
1691,Jefferson,Sheriff,Jail Security,Maintain jail security by completing cell checks random prisoner counts monitoring cell areas on surveillance equipment etc,4,1
1693,Jefferson,Sheriff,Outpatient Substance Abuse,This program is a variable length substance abuse treatment program - Human Services,4,1
1697,Jefferson,Sheriff,Correctional Emergency Response Team,Utilized to respond to inmates whom have become aggressive and/or violent.,4,1
1699,Jefferson,Sheriff,Inmate Court Activity,"Escort Prisoners to court, maintain security and document and update inhouse records on court proceedings",4,1
1703,Jefferson,Land & Water Conservation,Water Resource Planning & Protection Projects,"Staff plan and implement projects by writing/assisting with grant applications, performing data collection, organizing/leading public meetings, working with consultants, working on permits, writing reports, and tracking financials.",4,1
1712,Jefferson,Land & Water Conservation,Livestock Siting,"Farms that plan to expand their livestock numbers above a certain threshold must adhere to standards and obtain a Conditional Use Permit.  The Land & Water Conservation Department explains the process and standards to farmers, reviews application materials for completeness, provides information to the Zoning Department and Committee, provides testimony at the public hearing, and inspects the farms and construction to ensure compliance with the laws.",4,1
1716,Jefferson,Land & Water Conservation,Agriculture Performance Standards & Prohibitions,"State law identifies minimum performance standards that agricultural landowners and farm operators must meet. Staff conduct site evaluations to determine compliance with the law. If issues are identified, staff work to find solutions and funding to bring operations into compliance.",4,1
1717,Jefferson,Land & Water Conservation,Animal Waste Storage Permitting,Issue permits for new or substantially altered manure storage  and closure of storage once construction plans and nutrient management plans meet standards set for in the County ordinance. Inspect construction to document adherence to standards.,4,1
1723,Jefferson,Land & Water Conservation,Land & Water Resource Management Plan,"This plan lays out the mission, goals, and work plan for the Land and Water Conservation Department. The plan also provides an overview of the land and water resources in the county. It is updated every 10 years.",4,1
1731,Jefferson,Land & Water Conservation,Water Quality Monitoring,"Staff take part in water quality monitoring projects.  Staff train, equip, and support citizens to monitor lakes and streams in partnership with the Department of Natural Resources, Water Action Volunteers, and Rock River Coalition.  Results are tracked and shared with partners and citizens.",4,1
1733,Jefferson,Land & Water Conservation,Farmland Preservation Program,"The Farmland Preservation Program offers farm owners a tax credit for protecting our State’s soil and water resources. Work includes writing conservation plans, farm inspections, developing plans to achieve compliance, determining compliance schedules, and providing a list of compliant farms to the state. Staff educate tax prepares about the program.",4,1
1741,Jefferson,Land Information Office,Maintain Uniform Numbering Ordinance,Assign addresses for all new residences and businesses in the un-incorporated areas of Jefferson County.  Update Official Uniform Numbering GIS data. Distribute address changes to 911 dispatch and US Postal Service.,4,1
1742,Jefferson,Land Information Office,Maintenance Enterprise GIS Layers,"Maintenance of numerous enterprise  GIS data layers for county zoning, address, roads, municipality boundaries, wards, supervisory districts. EMS, fire response, schools districts, outdoor recreation facilities, farmland preservation, etc.",4,1
1782,Jefferson,Parks,County Facility Management and Infrastructure,"To support the overall goals and objectives of the county as a whole.  Example: support and facilitate projects susch as tax foreclosures, building demolition, and infrastructure projects.",4,1
1783,Jefferson,Parks,County Parks – Grounds Maintenance,"Maintain a regular schedule for mowing, trimming, spraying, flower bed maintenance, shrub and tree pruning, trail clearing, and general grounds maintenance of the County’s 20 parks, glacial river bike trail, Glacial River Mountain Bike Trail, and general fishing access’ across the county.",4,1
1784,Jefferson,Parks,County Parks – Building and Facility Maintenance,"Maintain the buildings and facilities in the 20 county parks including 16 shelters, 21 restrooms, 11 playgrounds, split rail fences, observation decks, piers, fishing wharf, 4 boat launches, disc golf course, light poles, picnic tables, grills, electrical systems, plumbing systems, and parking lots.  This includes janitorial services, trash removal, painting, staining, light repair, seasonal opening and closing, asphalt patching, playground inspection and monitoring, and the overall monitoring of facilities for vandalism and damage.",4,1
1785,Jefferson,Parks,County Parks – Building and Facility Maintenance County Park Shop,"Maintain the operation, function, and integrity of the County Parks shop including regularly scheduled services such as backflow valve prevention inspection, fuel system inspections, fire extinguisher inspections, bi-annual service of Hotsy Pressure Washer, maintenance of oil furnace, quarterly inspection of exit lights and emergency lighting, and maintaining an inventory of supplies and equipment.",4,1
1786,Jefferson,Parks,County Parks – Staff Training and Safety Program,"Provide annual training to staff on all levels of experience in safety, personal development, and Best Management Practices of park and recreation management.  Keep staff certifications up to date.",4,1
1787,Jefferson,Parks,County Parks – Fleet Maintenance and Purchasing,"Maintain regular schedule of preventive and scheduled maintenance on all parks equipment.  Train seasonal staff on general preventive maintenance and regularly scheduled maintenance for all assigned equipment.  Schedule all non-routine maintenance and breakdowns with certified mechanic shop.  Prioritize and create regular intervals for equipment replacement within the budgetary system.  Research options for new equipment, develop bid specifications for equipment replacement, and purchase new equipment.  Provide admin with budgetary numbers for future replacements.",4,1
1788,Jefferson,Parks,County Parks – Glacial Heritage Area Watertrails Management and Development,Keep current GHA water trail maps and Put In Take Out signage up to date at 70 different sites.  Work with Volunteers and Park staff to maintain safe waterways for paddlers and improve launch sites when funding and time is available.,4,1
1789,Jefferson,Parks,County Parks – Bike Route Development and Maintenance,"Design, fund, engineer, build,monitor and maintain Jefferson County’s on-road and off-road bike trails, mountain bike trails and community connections which includes planning, inventory updates, reroutes, and maintenance of route signage throughout the county.  Also update and maintain the Jefferson County Bike Routes Map and Loop Guides.",4,1
1790,Jefferson,Parks,County Parks – Snow Removal and Winter maintenance,"Timely and appropriate response to winter storm conditions including plowing, shoveling, salting, and sanding.  Providing winter recreation opportunities including cross country skiing, sledding, dog walking, and snowshoeing.  Maintain year round access to county parks, restrooms, and trails.",4,1
1791,Jefferson,Parks,County Parks – Snowmobile Trail Program,"Work directly with Jefferson County Snowmobile Alliance Trail Coordinator to open and close trails, monitor trail signage, investigate accidents, and monitor compliance with contract obligations.  Work with Wisconsin DNR Motorized Vehicle representatives to ensure compliance with program grant funding.",4,1
1793,Jefferson,Parks,County Parks – Management of Flood Mitigation and Tax Foreclosure Properties,"Monitor compliance of Jefferson County’s 120+ Flood Mitigation properties according to the FEMA HMAUG requirements through a bi-annual inspection program.  Monitor all properties for forest health issues and possible liability issues associated with dead and dying ash trees, and mitigate as funds are available.  Work with the County Attorney’s office on preparation for sale of County Tax Foreclosure properties.  Complete all steps and permitting for the demolition of tax foreclosed and condemned properties as well as newly purchased flood mitigation properties.",4,1
1798,Jefferson,Parks,County Parks – Forestry,"Monitor and inventory trees within recreation spaces and county owned properties for damage from storms, insects, fungus or other forest health pathogens or structural deficiencies.  Prioritize and mitigate hazards in a timely fashion.  Plan and implement a tree replacement program when funds are available and where appropriate.",4,1
1799,Jefferson,Parks,County Facilities – Grounds Maintenance,"Maintain a regular schedule for mowing, trimming, spraying, flower bed maintenance, shrub and tree pruning, trail clearing, and general grounds maintenance of the County’s 4 campuses (10 buildings) and the fair park.",4,1
1800,Jefferson,Parks,County Facilities – Grounds Improvements Planning and Implementation,"Work with facility managers to plan for improvements around county facilities including landscaping, retaining wall, tree removals and plantings, sitting areas, and gardens.",4,1
1801,Jefferson,Parks,County Facilities – Snow Removal and Winter Maintenance,"Support other facility managers in the timely removal of snow and ice from county parking lots, sidewalks, and driveways.",4,1
1802,Jefferson,Planning and Zoning,Drug Disposal,Partner with state and local agencies to offer drug disposal locations and methods for residents,4,1
1803,Jefferson,Planning and Zoning,Clean Sweep Events,"Plan, coordinante, administer Clean Sweep Events for the County",4,1
1816,Jefferson,Planning and Zoning,Shoreland/Shoreland-Wetland Ordinance,"Administer ordinance as mandated per State Statute 59.692, 87.30, including land owner and contractor assistance, permit review and issuance, conducting public hearings, inspections, and enforcement. (Chapter 22)",4,1
1817,Jefferson,Planning and Zoning,"Private Onsite Wastewater Treatment System Ordinance, Permits and Inspections","Administer ordinance mandated per State Statutes 59.70(1), 59.70(5),145.04, 145.19, 145.20, 145.245, including land owner and contractor assistance, permit review/approval and issuance,  inspections, and enforcement.",4,1
1818,Jefferson,Planning and Zoning,Private Onsite Wastewater Treatment System (POWTS) Maintenance,"Administer maintenance program per SPS 382, 383, 384, 385 and 391 Administrative Code, including informing and educating the  landowners of requirements to maintain systems, and enforcement. (Chapter 15).",4,1
1832,Jefferson,Register of Deeds,Vital Records  Maintenance,"Maintain a permanent record of all vital records, issue certified copies of birth, marriage, domestic partnership,divorce and death records, accept and file marriage, domestic partnerships and death records.",4,1
1862,Jefferson,Sheriff,Prisoner Escorts,Process and transport offenders taken into custody by the court,4,1
1863,Jefferson,Sheriff,Calls for Service Emergency Response,Answer calls for events that involve an immediate threat to a person or property,4,1
1867,Jefferson,Sheriff,Emergency Response Team,Team approach response to civil disorder crowd control major criminal events natural and man made disasters,4,1
1869,Jefferson,Sheriff,Gang Enforcement Team,Identify and document gang members and their activities and crimes,4,1
1870,Jefferson,Sheriff,Narcotics Investigations - Drug Task Force,"Identify, investigate and prsecute drug trafficking sales and manufacturing",4,1
1871,Jefferson,Sheriff,Preventative Patrol,Attempt to eliminate opportunity for misconduct through police presence in areas of expected crime,4,1
1872,Jefferson,Sheriff,Property Crimes Investigations,White collar general theft burglary and property damage investigation,4,1
1874,Jefferson,Sheriff,Motorcycle Unit,Traffic Safety and Enforcement Actions,4,1
1875,Jefferson,Sheriff,Truck Enforcement Unit,Traffic Safety and Enforcement of Truck Laws,4,1
1876,Jefferson,Sheriff,Boat and Snowmobile Unit,Provide enforcement actions as well as recreational safety to boats and snowmobiles,4,1
1878,Jefferson,Sheriff,Special Victims Unit Crimes Against Children,Investigative and support services in the area of crimes against special victims,4,1
1879,Jefferson,Sheriff,Special Weapons and Tactics SWAT,A specialized team utilized in emergency situations beyond standard patrol s capabilities to reach a peaceful resolution,4,1
1880,Jefferson,Sheriff,Crash Investigation Team (CIT),This unit investigates MAJOR traffic accidents that usually involve fatalities.,4,1
1881,Jefferson,Sheriff,Traffic Ordinance Enforcement and Crash Investigations,Investigate traffic crashes and enforce municipal ordinances and state statutes for on and off highway violations,4,1
1882,Jefferson,Sheriff,Violent Crimes Investigations,Respond to serious violent crimes,4,1
1883,Jefferson,Sheriff,K9 Team,Officers paired with trained police dogs for patrol purposes,4,1
1884,Jefferson,Sheriff,School Resource Officers SRO,Specialized officers assigned to schools to deal with issues involving students,4,1
1885,Jefferson,Sheriff,911 Communications Emergency Dispatch,"Dispatch all public safety emergency calls for service for Fire, EMS, and Law Enforcement",4,1
1886,Jefferson,Sheriff,911 Communications Call Taking,Answer all public safety emergency calls for service,4,1
1887,Jefferson,Sheriff,911 Communications Non Emergency Calls,Answer and dispatch all public safety non emergency related calls for service,4,1
1898,Jefferson,Sheriff,Crisis Negotiations,Facilitation of peaceful resolutions to crisis situations,4,1
1899,Jefferson,Sheriff,Sex Offender Registration,Register and data entry for new and existing registered offenders,4,1
1900,Jefferson,Sheriff,Warrant Execution,Actively search for wanted individuals,4,1
1901,Jefferson,Sheriff,Dive Team,Underwater Recovery Unit,4,1
1902,Jefferson,Sheriff,Courtroom Security & Jury Trials,Provide security and bailiff's for hearings or jury trials as an attendee of the Courts,4,1
1904,Jefferson,Sheriff,Courthouse Security,Front entrance screening of visitors and maintaining order inside of courthouse,4,1
1905,Jefferson,Sheriff,Emergency Response Exercises,Assist in developing/conduct full scale functional and table top emergency response exercises,4,1
1906,Jefferson,Sheriff,Emergency Operations Center Management,Serve as back-up emergency operations center manager in times of a disaster,4,1
1908,Jefferson,Sheriff,Controlled Medication Storage/Collection,Controlled medications are secured and logged to ensure their proper use,4,1
1914,Jefferson,Sheriff,Employee First Aid and CPR Training,Ensures staff is trained in CPR and advanced level medical response,4,1
1917,Jefferson,Sheriff,Fleet Maintenance and Repair,Fleet maintenance and repairs for all S.O. vehicles,4,1
1935,Jefferson,UW-Extension,Natural Resource Education,"Providing leadership and education on nutrient reduction and water quality projects across the Rock River watershed, including Total Maximum Daily Load (TMDL) planning and implementation projects.",4,1
1937,Jefferson,Corporation Counsel,Ordinance Prosecutions,Prosecute violations of county ordinances,4,1
1953,Jefferson,Corporation Counsel,Emergency Communications Management,Maintain emergency communications plans,4,1
1954,Jefferson,Corporation Counsel,Emergency Preparedness Outreach and Training,Attend training or presentations relating to emergency management and emergency preparedness,4,1
1958,Jefferson,Corporation Counsel,Legislative Development Review and Enactment,Draft and approve laws and ordinances,4,1
1967,Jefferson,Corporation Counsel,Child Abuse and Neglect Administrative Hearings,Appear at administrative hearings to determine if a person engaged in child abuse and/or neglect,4,1
1968,Jefferson,Corporation Counsel,Adult Mental Health Commitments,"Prosecute cases on behalf of the public to involuntarily commit adults and juveniles who are mentally ill, dangerous and treatable",4,1
1970,Jefferson,Emergency Management,Emergency Communications Management,Maintain emergency communications plans,4,1
