id,org,dept,name,description,Mandate,bin
1813,Meridian,Public Works,Laboratory Services (WasteWater),"Sampling and analysis of wastewater process control samples, treatment compliance samples, receiving water samples, and reclaimed water samples.  Documentation, quality control / quality assurance, and reporting of data.",4,2
1233,"Columbia, SC",Metro WWTP,Laboratory Testing,Testing and reporting according to state and federal regulations.  Evaluating water quality concerns.,4,2
924,"Strathcona County, AB",Corporate Services,Labour Relations,Expert advice and support to maintain positive relationships with employees and/or employee representatives (Unions). Includes providing leadership and coordination through the collective bargaining and grievance/arbitration processes. Also other managing dispute resolution processes.,4,2
791,"Strathcona County, AB",Infrastructure and Planning Services,Lagoon Inspection and Maintenance,"Inspection and maintenance of lagoons to meet provincial legislation and best management practices. Involved with this is annual reporting, collection and analysis of samples, and annual releasing to ensure capacity for expected volume of wastewater.",4,2
1501,"Riverside, CA",Parks & Recreation,Lake Maintenance,"Monitoring condition of lakes at Fairmount Park. Includes oversight of contracted services for lake treatment, well maintenance/repair and matters related to health and safety.",4,2
1723,Jefferson,Land & Water Conservation,Land & Water Resource Management Plan,"This plan lays out the mission, goals, and work plan for the Land and Water Conservation Department. The plan also provides an overview of the land and water resources in the county. It is updated every 10 years.",4,2
304,Roswell,90 - Transportation,Land and Right-Of-Way Acquisition,"Performs right-of-way functions for active transportation projects.  Includes analysis of needs, negotiation of acquisition, preparation of appraisals, contract development and negotiation, plan development and modifications, budget development, and payment distribution.  Also, performs right-of-way acquisition for future City public projects e.g. parking lots, towers and/or fire stations.",4,2
438,"Washington County, WI",Highway,Land and Right-Of-Way Acquisition,"Compile pertinent information needed for ROW acquisition. Manage consultants on purchasing of right of way, RFP's for services",4,2
775,"Washington County, WI",Planning and Parks,Land and Water Resource Management Plan,"Continue to monitor progress, maintain records and provide reports of accomplishments as outlined in the current LWRMP work plan.  Assist the WDNR with implementing pollutant load reduction projects in the Rock River watershed and in the Milwaukee River watershed.",4,2
803,"Washington County, WI",Planning and Parks,"Land and Water Resources Management Plan Research, Writing, Adoption and Administration","The Land and Water Resources Management Plan is mandated by Wisconsin Statutes Ch. 92.10  and serves as a basis for County conservation efforts. The plan must be updated every 10 years with the potential for a 5-year extension.   Work includes  research and writing, statistical analysis, development of goals and recommendations and Plan adoption and updates.",4,2
844,"Columbia, SC",Land Development,Land Development Review,Review and process applications for development to ensure compliance with the Subdivision and Landscape Ordinance,4,2
845,"Columbia, SC",Land Development,Land Develpoment Ordinance Compliance Inspections,"Inspect construction projects to ensure compliance with the Land Development Ordinance to include landscaping, etc.",4,2
1822,Jefferson,Planning and Zoning,Land Division Ordinance Compliance,"Administer ordinance per State Statutes 59.02, 236 including land owner and surveyor assistance, review and approval of surveys, and enforcement. (Chapter 18)",4,2
523,"Canton, MI",701 - Planning Services,Land Divisions and Combinations,"Review land division applications and requests to combine parcels in accordance with State law and Township ordinances, including creating/retiring parcels in assessing database (GIS Specialist) and updating the parcel maps in GIS.",4,2
753,East Lansing,Financial Services,Land Divisions and Combinations,Review land division applications and requests to combine parcels; create/retire parcels in assessing database,4,2
843,"Washington County, WI",Register of Deeds,Land Information Assistance - Surveyor,"Provide miscellaneous assistance to county surveyor with regards to plats of survey indexing and imaging.  Provide
assistance to research surveys to constituents, business partners, county employees, etc.",4,2
1850,Jefferson,Register of Deeds,Land Information Council,"Serve on Land Information Council to establish goals and plans for land records within the county, including land modernization.",4,2
820,"Washington County, WI",Register of Deeds,Land Information Council,"Serve on Land Information Council to establish goals and plans for land records within the county, including land modernization.",4,2
844,"Washington County, WI",Register of Deeds,Land Information Council,"Serve on Land Information Council to establish goals and plans for land records within the county, including land modernization.",4,2
1752,Jefferson,Land Information Office,Land Information Council and Land Information Plan,Land Information Council (LIC) establishes goals and develops the Land Information Plan that guides land records modernization projects and expenditures.. The LIC reviews the and recommends the Land Information Program yearly budget .   The Real Property Lister and Surveyor serve on LIC along with 7 other members.,4,2
821,"Washington County, WI",Register of Deeds,Land Information Plan,"As a member of County Land Information Council, assists in the writing of the county's Land Information Plan, reviews the use of land information program expenditures, assesses county land information needs, advises the Land Information Officer on county land on land information policies and advises the county as a whole on matters affecting the Land Information Office.",4,2
161,Marathon,"Conservation, Planning and Zoning",Land Information Program,"To assure the efficient development and funding of the land information data/systems per State Statute 59.72 which requires a Land Information Office (LIO) and a Land Information Council (including Real Property Lister, Register of Deeds, County Surveyor and others) who develop and implement a  Land Information Plan mandated , review the use of land information program expenditures, assess county land information needs, and advise on policies and  matters affecting land information program.",4,2
539,"Canton, MI",701 - Planning Services,Land Records,"Assign land records for new parcels and units, including amendments.  Coordinate with Assessing Department, Wayne County, land owner(s), and other related parties.",4,2
16,UnifiedGov,Knowledge Department,Land Records and Parcel Mapping,Fulfill statutory obligations of Clerk and Appraiser to identify and map real estate parcels.,4,2
1836,Jefferson,Register of Deeds,Land Records Maintenance,"Maintain a permanent record of all real estate recordings, filings and indexes. AVID",4,2
860,"Washington County, WI",Register of Deeds,Land Records Maintenance,"Maintain a permanent record of all real estate recordings, filings and indexes",4,2
2032,Marathon,County Clerk,Land Records Management,"Receive, process, and advise on all annexations. Update election records, notify GIS, and determine if new wards are needed.
Process and maintain records of relocation orders.
Work with GIS / CPZ on redistricting - develop plans, present to Board, implement changes, and work with municipalities to create wards and election districts.",4,2
448,"Eugene, OR",PDD,Land Use Application Review & Facilitation,Provides required code review for land use applications.  Staff also work on pre-development consultations and general inquiries related to land use questions. This program includes Historic Preservation.,4,2
2247,"Fort Saskatchewan, AB",Planning and Development,Land Use Bylaw,"Every municipality must have a Land Use Bylaw in accordance with the MGA.  Maintain, implement, and continuously update the City's Land Use Bylaw (LUB) to ensure relevancy and responsiveness. The LUB must be prepared in accordance with the Municipal Government Act (MGA). The LUB regulates the use and development of land and buildings within the City to achieve the orderly and economic development of land. The LUB implements the policies of the Municipal Development Plan and other statutory planning documents.  This program includes amendments, updates, refreshes, and renewal initiatives.",4,2
802,"Strathcona County, AB",Infrastructure and Planning Services,"Land Use Bylaw Amendments, Preparation and Review","Processing, review and preparation of applications to amend the Land Use Bylaw. This is typically the rezoning of parcels to reflect the direction provided in the higher level planning documents. It can also include text amendments to the Bylaw. The Land Use Bylaw is the regulatory tool used to implement the policies of the higher level planning documents and therefore amendments to it are quite common.",4,2
2248,"Fort Saskatchewan, AB",Planning and Development,Land Use Bylaw Enforcement,"Ensure development on private land meets the use and development standards set out within the City's Land Use Bylaw (LUB).  Enforcement of Land Use Bylaws is legislated by the MGA.  When required, exercise enforcement mechanisms as per the LUB and our Municipal Policy (MP). Our MP refers to the Land Use Enforcement Policy and the Naming Policy (naming of development areas, roads, parks and public facilities).",4,2
1489,"Lethbridge, AB",Planning & Design,Land Use Bylaw Maintenance,"Continual Review of Land Use Bylaw for needed regulatory updates, draft required legislation and present at Public Hearing for Council approval",4,2
450,"Eugene, OR",PDD,Land Use Code Improvement,Required work done by Planning staff to incorporate State and Local direction to update and change local land use code.,4,2
1218,SouthJordan,Planning,Land Use Review Authorities,"Provide staff support to the Planning Commission and Architectural Review Committee through training, writing reports, communicating with the public and attending meetings.",4,2
990,Flagstaff,06-Public Works,Landfill - Landfill/Hazardous Products Center Compliance,"Ensure compliance with Federal, State and Local  regulations",4,2
638,"West Plains, MO",Public Works,Landfill Compliance Monitoring,Closure post closure care landfill permitting and amendments,4,2
991,Flagstaff,06-Public Works,Landfill Engineering,Construction of landfill infrastructure and annual projections of landfill life,4,2
493,UnifiedGov,Public Works,Landfill Inspection & Maintenance,Landfill Inspection & Maintenance,4,2
482,"Green Bay, WI",50 -  DEPT OF PUBLIC WORKS,Landfill Monitoring and Maintenance,"Ongoing monitoring and reporting of environmental data to WDNR, and maintenance on closed landfills for compliance with long term care obligations",4,2
505,"Green Bay, WI",50 -  DEPT OF PUBLIC WORKS,Landfill Monitoring and Maintenance,Physical maintenance and repair of closed landfills as directed by Engineering and Utility Divisions,4,2
291,Wetaskiwin,Municipal Services,Landfill Operations and Maintenance,"Spreading, packing and covering garbage, empty transfer bins, grounds maintenance, leachate management, collection and disposal and pump maintenance. Scale operations - directing customers, handling cash, cash outs, answering phone calls. Annual Reporting of leachate, methane gas, ground water monitoring for annual report for Alberta Environment & Parks.",4,2
992,Flagstaff,06-Public Works,Landfill Project Management,Development of infrastructureÂ  and identification of long-term needs of the landfill,4,2
989,Flagstaff,06-Public Works,Landfill Scale house,"The scale house personnel are responsible for in bound and out bound weighing of vehicles, Federally required load inspections, manifest review, customer service, payroll processing, accounts payable/receivable and deposits.",4,2
553,"Washington County, WI",Human Resources,Language Line Management,Managing and ensuring the Language line is up and working,4,2
1301,Tulsa,Police,Latent Print Section,Perform latent print testing on evidence.,4,2
1301,Tulsa Test Liz,Police,Latent Print Section,Perform latent print testing on evidence.,4,2
1349,"Salt Lake City, UT",POLICE DEPARTMENT,Lateral Academy,Condensed academy for currently certified officers transferring to the department,4,2
340,"Washington County, WI",District Attorney,"Law Enforcement Agencies Inquiries and Assistance, pursuant to Wis. Stat. 978.05(1)","Monitor reception area, take calls from law enforcement and attorneys, seek to respond to questions and complaints from citizens.",4,2
1556,Tulsa,Police,Law Enforcement Driver Training (LEDT),This training program is specially designed for patrol and pursuit driving that is specialized for Police Officers,4,2
1556,Tulsa Test Liz,Police,Law Enforcement Driver Training (LEDT),This training program is specially designed for patrol and pursuit driving that is specialized for Police Officers,4,2
1219,East Lansing,Police,Law Enforcement Information Network,"Maintain Law Enforcement Information Network (LEIN) audit, agreement and management (Records Department Supervisor).",4,2
2941,Jefferson,District Attorney,Law enforcement support,"Office attorney back up to answer legal questions, draft documents, maintain records",4,2
575,Marathon,District Attorney,Law Enforcement Support,On-call 24/7 to respond to any Law Enforcement questions or incidents requiring prosecutor attendance. Evaluate Search Warrants to ensure completeness 24/7.  Assist with evidence release. Fatal crash reconstruction.  Homicide scene response.,4,2
1315,East Lansing,Dept of Public Works,Lead & Copper Rule Compliance,"Service Line Material Surveys, service replacements, EGLE water sampling effort",4,2
1241,Ferndale,Public Works,Lead Service Line Replacement and Verification,Lead Service Line Replacement and Verification,4,2
35,Roswell,10 - Administration,Leave Administration,"Processing of leave accruals and usage, donations, rollovers.  Coordination of short-term, intermittent, and extended leaves.  Coordination of Family and Medical Leave Act compliance.  Coordination of applications for short and long-term disability insurance coverage with insurance carriers.",4,2
836,UnifiedGov,Unified Legal,Legal - City Special Judgment & Liability,"Outside Legal Services, Settlements & Judgments",4,2
149,UnifiedGov,Unified Legal,Legal - County Special Judgment & Liability,"Outside Legal Services, Settlements & Judgments",4,2
663,UnifiedGov,Unified Legal,Legal - KORA Requests,Legal Services,4,2
682,UnifiedGov,Unified Legal,Legal - Legislative Support-Ordinances & Resolutions,Legal Services,4,2
683,UnifiedGov,Unified Legal,Legal - Municipal Court Criminal Prosecution Program,Prosecution,4,2
684,UnifiedGov,Unified Legal,Legal - Outside Counsel Oversight,Legal oversight/monitoring,4,2
661,UnifiedGov,Unified Legal,Legal Administrative Hearings,Legal Advice/Attendance,4,2
217,"Washington County, WI",County Attorney,Legal Advice - Confidentiality; Breach/HIPAA,Render legal advice on HIPAA and case confidentiality,4,2
765,Marathon,Corporation Counsel,Legal Advice and Support - County Board and Committees,"Serve as legal advisor on civil matters (59.42(1)(c) Stats. )to governance board and all committees, task forces, boards and commissions, including those created by statute and those created by s.66.0301, Stats., agreements.   Act as parliamentarian",4,2
689,Flagstaff,01-015 General Administration City Attorney Division,Legal Advice Staff / Council,"Advise Mayor and City Councilmembers on matters with legal consequence. Advise city management and department/division staff on matters with legal consequence. Manage executive session agenda items; provide counsel to city council, management, staff and/or boards and commissions, as required. Provide training on legal-related issues to city officials and staff. External training at Continuing Legal Education (CLE) seminars/conferences.",4,2
766,Marathon,Corporation Counsel,"Legal Advice, Support and Training - County Departments","Serve as legal advisor to all county departments in civil matters (59.42(1), Stats.). Respond to complex public records requests on behalf of county (ss. 19.31-19.39) Respond to requests or subpoenas for other confidential records kept by county agencies (48.396, 48.78, 48.981, 49.83, 51.30, 146.82, 938.396, 938.78 Stats.)",4,2
216,"Washington County, WI",County Attorney,Legal Advice/Representation - County Board and Committees,Attorney services - provide legal advice per WI Statute 59.42 and Co Ord 4.02(5)(j),4,2
218,"Washington County, WI",County Attorney,Legal Advice/Representation - Departments,"Provide advice in all civil matters 59.42, 4.02(5)(j)",4,2
226,"Washington County, WI",County Attorney,Legal Advice/Representation - Subpoenas,Represent County 59.42,4,2
4880,San Juan County,LEGAL,Legal Advisement - Boards and Commissions,"Legal provides legal representation to San Juan Water Commission, Communications Authority, Criminal Justice Training Authority, and EMS Advisory Committee as is required by the applicable JPA's.",4,2
240,"Washington County, WI",County Attorney,Legal Advisor - Highway Commissioner; Transportation Committee,"Serve as legal advisor to Highway Commissioner and Transportation Committee 4.02(5)(a), 59.42(2)(b)3.",4,2
681,UnifiedGov,Unified Legal,Legal Advisor & Training â€“ Public Safety,Legal Services,4,2
668,UnifiedGov,Unified Legal,Legal Advisor â€“ BPU,Legal Services,4,2
665,UnifiedGov,Unified Legal,Legal Advisor â€“ Elected Officials/Boards and Commissions,Legal Services,4,2
673,UnifiedGov,Unified Legal,Legal Advisor â€“ General,Legal Services,4,2
220,"Washington County, WI",County Attorney,Legal Advisory Services - Meetings/Agendas,Provide advice on open meetings 19.85,4,2
222,"Washington County, WI",County Attorney,Legal Advisory Services - Record Requests,"Provide legal advice to the County Board (4.32); Committees (4.32) and Departments (4.32, 19.32, Stats.) regarding public records law",4,2
2375,Littleton,Admin Services,Legal and Employment Policy Management & Analysis,"Continued review, development, and administration to ensure compliance with legislative regulations; align with organizations needs; and, meet goals for employee attraction and retention (benefits). Staying up to date on on federal and state laws to ensure compliance. Tracking changes, posting new policies on LINK, notifying employees of changes. Data analytics through Crystal reporting software, Power BI, Excel, HRMS.",4,2
1143,Tulsa,Streets and Stormwater,Legal and Insurance Adjuster Claims-Inquiries,Responding to inquiries from attorneys and insurance adjusters involving vehicle crashes.  Responding to tort claims made against the City involving the Traffic Operations Division.  Providing court testimony and depositions.  Representing the City at settlement conferences.,4,2
1143,Tulsa Test Liz,Streets and Stormwater,Legal and Insurance Adjuster Claims-Inquiries,Responding to inquiries from attorneys and insurance adjusters involving vehicle crashes.  Responding to tort claims made against the City involving the Traffic Operations Division.  Providing court testimony and depositions.  Representing the City at settlement conferences.,4,2
1154,Ferndale,43rd District Court,Legal Books and Publications,Purchase of books and publications necessary to perform legal research.,4,2
662,UnifiedGov,Unified Legal,Legal Civil Litigation â€“ State & Federal,Litigation costs,4,2
1520,"Branson, MO",Legal,Legal Compliance,Ensure City compliance with all State & Federal Laws & Requirements involving City of Branson,4,2
1313,"Lees Summit, MO",Human Resources,Legal Compliance,Assure legislative compliance in all programs and all levels,4,2
2127,Littleton,City Attorney,Legal Department Training,"Attend training, continuing education to meet requirements for attorney licensing from Colorado Supreme Court",4,2
595,UnifiedGov,Unified Legal,Legal Diversion/Victim Assistance,Prosecution,4,2
214,Marathon,Social Services,Legal Fees - Corporation Counsel,"Contract for the provision of legal representation for Children In need of Protection and Services petitions, Termination of Parental Rights and Guardianship proceedings.",4,2
793,Ferndale,Human Resources,"Legal Matters, Litigation Avoidance, and Employee Grievances","Formally respond to complaints, grievances, and other legal concerns. Devise remedies that correct employee behavior while minimizing legal risk. Direct and assist with litigation cases relating to employment. Recommend remedies that avoid litigation.",4,2
105,"Branson, MO",City Clerk,Legal Notices,"Publish legal notices in newspaper. Review and make corrections to legal advertisements to ensure accuracy. Meet publishing deadlines. Maintain log and physical copies of Branson Tri-Lakes News invoices and legal proofs. Ensure all invoices have been paid by departments. Governed by State Statutes, Secretary of State and Code.",4,2
3071,Jefferson,Administration,Legal Notices,Post Request for Proposals for departments and publish legal notice in newspapers,4,2
4582,San Juan County,CLERK,Legal Notices & Publications,"Create publications in print for Proclamations (English and Spanish), early voting locations hours, notice of elections.",4,2
367,Lawrence,City Attorney,Legal Oversight of Documents,"Oversee, prepare, direct and review preparation of legal opinions, ordinances, resolutions, contract, leases, licenses, administrative policies, deeds and other legal documents.",4,2
1345,Jefferson,Clerk of Court,Legal Publications,Provide Legal publications and research materials - Law Library,4,2
163,"Washington County, WI",Clerk of Courts,Legal Publications,"Provide legal publications and research materials to court officials, and insert updates in periodicals.",4,2
224,"Washington County, WI",County Attorney,Legal Representation - County Insurance Litigation,Examine and report County liability and claims coordinate and manage litigation 4.02(5)(k),4,2
225,"Washington County, WI",County Attorney,Legal Representation - Defense and Indemnification,Defense of employee against legal charges 7.14,4,2
227,"Washington County, WI",County Attorney,Legal Representation - Workers Compensation; Employment,Prosecute and defend 59.42,4,2
653,Marathon,Clerk of Courts,Legal Research,"Opinions, Prison correspondence",4,2
1432,"Lees Summit, MO",Law Department,Legal Research and Case Documentation,"Research information related to cases specifically backgrounds, police reports, witness statements; review relevant law; take action on citations; communication with Court on actions",4,2
223,"Washington County, WI",County Attorney,Legal Resource/Representation - County Board Supervisors,Prosecute actions on behalf of and defend Supervisors 59.42,4,2
219,"Washington County, WI",County Attorney,Legal Support Services,Legal secretary support services for County departments and Board,4,2
54,Roswell,10 - Administration,Legal Training (internal),Conduct training presentation on request from PD and other City staff,4,2
1132,Tulsa,Legal,Legal Training and Development of Personnel,Obtain mandated continuing legal education for attorneys and paralegals to maintain licenses and certifications,4,2
1132,Tulsa Test Liz,Legal,Legal Training and Development of Personnel,Obtain mandated continuing legal education for attorneys and paralegals to maintain licenses and certifications,4,2
1153,"Monroe, OH",CITY COUNCIL,Legislative Compliance,"Completes necessary filings and follow up related to Council actions (including filing budgets with the County, etc)",4,2
416,"Green Bay, WI",01 -  COUNCIL,Legislative Development and Enactment,"Draft and approve laws, policies, and ordinances. ",4,2
1958,Jefferson,Corporation Counsel,Legislative Development Review and Enactment,Draft and approve laws and ordinances,4,2
832,Rowlett,City Secretary,Legislative Governance,"Agenda publication, publication of minutes, ordinances and resolutions for Council work sessions, special and regular meetings",4,2
703,Ferndale,City Clerk,Legislative Support,Manage all meetings of the Governing Body (City Council). Provide research and support to members of the Council. Recording secretary to Council. Administrative and strategic operations.,4,2
2133,Littleton,Clerk and Court,Legislative Support,"Activities that fulfill the City Clerk's role as the ""Clerk of the Council"" (City Charter, Section 31). These activities include preparing City Council meeting agendas and agenda packets; creating City Council meeting minutes; processing documents for signature and transmittal following City Council action; organizing and indexing the City Council documents; and performing legislative research for council, staff, and citizens.",4,2
1270,Tulsa,Finance,Legislative Support,"Coordination of  the processing and approval of principle city records, including Ordinances, Resolutions, Contracts, Easements, Deeds, Executive Orders and various other records. Coordination, management, maintenance and processing of legal filings against the City, election processes, appeals, conflicts of interest, discrimination and ethics complains, open meeting notices and other regulatory processes designated to the Clerk's Office. Support to all departments , elected officials and citizens",4,2
1270,Tulsa Test Liz,Finance,Legislative Support,"Coordination of  the processing and approval of principle city records, including Ordinances, Resolutions, Contracts, Easements, Deeds, Executive Orders and various other records. Coordination, management, maintenance and processing of legal filings against the City, election processes, appeals, conflicts of interest, discrimination and ethics complains, open meeting notices and other regulatory processes designated to the Clerk's Office. Support to all departments , elected officials and citizens",4,2
1573,"Salt Lake City, UT",POLICE DEPARTMENT,Less Lethal Program,"Grant funded, need ongoing budget",4,2
630,Lawrence,Municipal Services and Operations,Levee maintenance,Levee gate operations / maintenance; slope integrity and management (rip rap); emergency response 24-hour patrols,4,2
1503,Jefferson,Health,Level II Health Department Requirement,The Health Department strives  to work towards the goals of the State Department of Health Services (DHS) State Health Plan and State Chapter 140 Review. Required to meet Level I State Statutes for services provided and continue to offer qualifying Public Health programs to be designated as a Level II Health Department.,4,2
1164,"Monroe, OH",CITY MANAGER'S OFFICE,Liability and Risk Control,"Managing insurance policies so as to limit the City's liability; this also includes any risk-avoidance measures as a means to further limit liability (this includes everything except health insurance-related policies, which are part of Human Resources)",4,2
742,Marathon,Employee Resources,Liability Insurance Administration & Claims Management,"Manage and coordinate Health Insurance Portability Accountability Act (HIPAA) requirements; ensure health information is protected. Includes General Liability, Auto Liability, Errors and Omissions, Cyber Liability, Directors and Officers, Employment Practices, etc.  Procure liability insurance, claims management, budget preparation and allocation back to departments, liaison with insurance company",4,2
1427,"Salt Lake City, UT",POLICE DEPARTMENT,Liberty Division Community Liaison Officer Program,The Division Community Liaison works with the community to solve problems. The officers participate in Community Council Meetings and Community Action Team meetings to share information and collaborate on community concerns.,4,2
982,"West Plains, MO",Community Services,Library Operations,"Day-to-day operations of the library, including answering phones, building and grounds maintenance, etc.",4,2
784,Flagstaff,07-Economic Vitality,"Library Technology Security Management, Compliance & Training",Development enforcement and communication of security policies. User technology resource and policy training,4,2
535,"Columbia, SC",Business License,Licenses - Occupational and Specialty Business,"Accept applications, route to numerous departments, research applicants, provide final determination, produce permits/licenses. Purpose of the licensing is to protect the health, safety and welfare of all citizens, to prevent illegal activity, to protect public property, to prevent street congestion, and to comply with all City of Columbia ordinances.",4,2
536,"Columbia, SC",Business License,Licensing,Classifies business by industry code and geographic code. Assigns appropriate classifications. Issues new licenses for owner and/or address changes.,4,2
699,Flagstaff,01-011 General Administration City Manager Division,Licensing,Process liquor and off-track betting licenses and domestic partnership registrations in accordance with established laws and policies,4,2
999,Longmont,Shared Services,Licensing and Permitting--Liquor Licensing,"Review and take applications and fees for liquor licensed business as outlined in state statute, route same to review staff, review and compile staff comments; publish notices of meetings and hearings, prepare notices of posting for the applicant's premises when required; communicate with applicants, schedule applications for Liquor Licensing Authority (LLA) meetings; prepare LLA agendas; manage follow up paperwork, issue permits and renewal notices; administratively process and approve licenses and permits in accordance with adopted LLA Rules of Procedure; coordinate LLA Rules of Procedure changes with Municipal Judge and update documents accordingly.",4,2
537,"Columbia, SC",Business License,Licensing Review & Approvals,"Prepare applications, take applications, obtain all external/third party approvals, issue license, file application.",4,2
906,"Strathcona County, AB",Corporate Services,Life and Safety Equipment/Systems,"The annual verification of the life and safety equipment or systems required by building or fire codes. This will include fire alarm, fire sprinkler, backflow, gas detection and emergency lighting/ power systems.",4,2
1099,East Lansing,"Planning, Bldg and Dev",Life Safety Inspections,"Life Safety & Fire Inspections for Fire Suppression, Fire Alarm Systems, means of egress, emergency lighting, etc....",4,2
299,"Beaumont, AB",Infrastructure,Life Safety Systems,"Fire systems inspection, maintenance, and repairs",4,2
729,"Washington County, WI",Planning and Parks,Life Safety Systems Maintenance,"Maintenance of Fire Alarms, panels and sprinkler systems as required by federal, State and local authorities. Including testing as required",4,2
563,"Green Bay, WI","60 -  PARKS, REC AND FORESTRY",Lifeguard Training and Certifications,"Provide 5 necessary courses consisting of approximately 125 hours to train, educate, test, and certify lifeguard candidates for our three aquatic facilities.  75 lifeguards are required for operation.",4,2
465,"Green Bay, WI",50 -  DEPT OF PUBLIC WORKS,Lift Span Bridge Maintenance (Main Street Bridge),"Routine maintenance, repair, and cleaning of the Main Street (Ray Nitschke Memorial) lift bridge.  Also assist with larger-scale Capital Program lift bridge activity as necessary.",4,2
788,"Strathcona County, AB",Infrastructure and Planning Services,"Lift Station Inspection, Maintenance and Cleaning","Includes the routine inspection, maintenance and cleaning of lift stations. The facilities are inspected to ensure the equipment is functioning properly and able to provide a reliable service of wastewater removal. Deficiencies are reported and integrated into maintenance planning and execution processes. Lift stations are cleaned annually to remove organics, fats, oils, grease, debris and reduce the need for emergent responses at the station and in the collection system.",4,2
1021,Rowlett,Public Works,Lift Station Maintenance,"Perform mandated daily site visit, maintain all pumps and infrastructure, ensure backup power connections 
 are functional, maintain the site and the SCADA system.",4,2
912,"West Plains, MO",Public Works,Lift Stations,Operation and maintenance of sewage lift stations.,4,2
1491,Tulsa,Water and Sewer,Lift Stations Operations,Manage and maintain lift stations for wastewater and stormwater,4,2
1491,Tulsa Test Liz,Water and Sewer,Lift Stations Operations,Manage and maintain lift stations for wastewater and stormwater,4,2
1618,"Riverside, CA",RPU - Electric,Line Clearance,Annual tree and vegetation management/trimming at various locations throughout the City of Riverside.,4,2
1877,"Addison, TX",Streets,Line Locates,Locate traffic signal infrastructure to prevent damage from contractors.,4,2
907,Ferndale,Public Works,Line Location Services,Locate of underground utilities,4,2
1398,East Lansing,Dept of Public Works,Line Location Services - Miss Dig,Locate underground water & sewer utilities,4,2
1578,"Addison, TX",Development Services,Liquid Waste Hauler Licensing and Inspections,"Liquid waste hauler review, inspection, licensing, and administrative needs.",4,2
988,Rowlett,City Secretary,Liquor License Issuance,Process liquor licenses in accordance with established laws and policies.,4,2
200,"West Plains, MO",Administration,Liquor License Issuance,Process liquor licenses in accordance with established laws and policies,4,2
407,"Green Bay, WI",10 -  ADMINISTRATIVE SERVICES,Liquor Licenses,Issuance and maintenance of new and renewal liquor licenses as well as picnic licenses.,4,2
4572,San Juan County,CLERK,Liquor Licenses,"Issue liquor licenses, maintain electronic index",4,2
326,Longmont,External Services,Liquor Licensing Inspections,"This service is required by state and local laws.  At the request of the City Clerk during the review of liquor applications, staff performs the necessary inspections on all premises with liquor licenses under review for change of ownership, new licenses and premises modifications.",4,2
980,"Columbia, SC",Police Department,Liquor Permit Requests,Processing of Alcohol Beverage Control licensing outside of retail and commercial permitting,4,2
21,"Columbia, SC",City Attorney's Office,Litigation,Manage the defense and prosecution of cases involving the City. Monitors and coordinates work of outside counsel.,4,2
1386,"Pittsburgh, PA",LAW,Litigation-Federal,"Negotiate, mediate, and litigate as necessary either in-house and/or with outside counsel, on federal matters against or involving the City.",4,2
1387,"Pittsburgh, PA",LAW,Litigation-State,"Negotiate, mediate, and litigate as necessary either in-house and/or with outside counsel, on state matters against or involving the City.",4,2
1273,"Pittsburgh, PA",PW - BUREAU OF ENVIRONMENTAL SERVICES,Litter & Illegal Dumpsite Removal,Roadside litter and open space dumpsite removals,4,2
1243,Tulsa,Asset Management,Litter abatement,"Inmate, community service, civilian program management for litter pickup, floatables and vegetation control and removal in the public rights of way",4,2
1243,Tulsa Test Liz,Asset Management,Litter abatement,"Inmate, community service, civilian program management for litter pickup, floatables and vegetation control and removal in the public rights of way",4,2
1712,Jefferson,Land & Water Conservation,Livestock Siting,"Farms that plan to expand their livestock numbers above a certain threshold must adhere to standards and obtain a Conditional Use Permit.  The Land & Water Conservation Department explains the process and standards to farmers, reviews application materials for completeness, provides information to the Zoning Department and Committee, provides testimony at the public hearing, and inspects the farms and construction to ensure compliance with the laws.",4,2
4513,San Juan County,ASSESSOR,Livestock Valuation,Valuation of all livestock,4,2
125,"Washington County, WI",Aging & Disability Resource Center,Living Well with Chronic Conditions,6 week class that helps educate and empower participants to self manage their chronic health condition.,4,2
126,"Washington County, WI",Aging & Disability Resource Center,Living Well with Diabetes,6 week class for diabetics or those living with someone who is diabetic that focuses on self-managing their diabetes,4,2
1349,"Riverside, CA",Community Development,Loan Inventory Management,"Manage borrower and developer loan payments, interest accruals, payoff demands and title releases for Housing Authority",4,2
520,"Washington County, WI",Highway,Local and Long Range Transportation Planning.,"Contracted with Southeast Wisconsin Regional Planning Commission, (SEWRPC) with assistance from Washington County.",4,2
902,East Lansing,Administrative Services,Local Area Network LAN Administration and Support,"Local Area Network Administration and Support includes all of the edge to edge and edge to core connected network topology in the city.  As a simple example, the port in the wall connects to a variety of switches and routers throughout the city.  These devices are located strategically in our facilities, on multiple floors, and interconnected.  Those devices are then able to talk to each other (computer to computer) or to other devices (servers, security devices, etc.). This program includes the hardware, operating systems, maintenance, licensing, and critical care services required to ensure uptime of these asset and thus the interlinked connectivity of the cities computing infrastructure.",4,2
443,"Columbia, SC",Emergency Operations,Local Emergency Planning Committee,Participates in the Richland County LEPC (Local Emergency Planning Committee),4,2
67,Marathon,Emergency Management,Local Emergency Planning Committee,"A requirement of EPCRA, the LEPC meets quarterly. Emergency Management performs the administrative tasks for the committee. S.S. 323.60.",4,2
